categoria;algoritmo;cenario;tamanho;tempo_medio_ns
sort;BubbleSort;aleatorio;1000;5311640
sort;BubbleSortOtimizado;aleatorio;1000;5187845
sort;SelectionSort;aleatorio;1000;1353965
sort;SelectionSortEstavel;aleatorio;1000;1242095
sort;InsertionSort;aleatorio;1000;550960
sort;BubbleSort;ordenado;1000;2584015
sort;BubbleSortOtimizado;ordenado;1000;14460
sort;SelectionSort;ordenado;1000;1058695
sort;SelectionSortEstavel;ordenado;1000;673940
sort;InsertionSort;ordenado;1000;16725
sort;BubbleSort;inverso;1000;1568625
sort;BubbleSortOtimizado;inverso;1000;1610445
sort;SelectionSort;inverso;1000;1980455
sort;SelectionSortEstavel;inverso;1000;3163145
sort;InsertionSort;inverso;1000;904340
sort;BubbleSort;aleatorio;5000;139152285
sort;BubbleSortOtimizado;aleatorio;5000;140990100
sort;SelectionSort;aleatorio;5000;32308095
sort;SelectionSortEstavel;aleatorio;5000;28635225
sort;InsertionSort;aleatorio;5000;14086445
sort;BubbleSort;ordenado;5000;89466000
sort;BubbleSortOtimizado;ordenado;5000;72715
sort;SelectionSort;ordenado;5000;26972200
sort;SelectionSortEstavel;ordenado;5000;19252530
sort;InsertionSort;ordenado;5000;106690
sort;BubbleSort;inverso;5000;49427690
sort;BubbleSortOtimizado;inverso;5000;51244160
sort;SelectionSort;inverso;5000;59794430
sort;SelectionSortEstavel;inverso;5000;114634855
sort;InsertionSort;inverso;5000;25450510
sort;BubbleSort;aleatorio;10000;621538880
sort;BubbleSortOtimizado;aleatorio;10000;621137200
sort;SelectionSort;aleatorio;10000;132832295
sort;SelectionSortEstavel;aleatorio;10000;120269465
sort;InsertionSort;aleatorio;10000;64933010
sort;BubbleSort;ordenado;10000;542408930
sort;BubbleSortOtimizado;ordenado;10000;156595
sort;SelectionSort;ordenado;10000;113216230
sort;SelectionSortEstavel;ordenado;10000;80607780
sort;InsertionSort;ordenado;10000;181775
sort;BubbleSort;inverso;10000;226532725
sort;BubbleSortOtimizado;inverso;10000;239210045
sort;SelectionSort;inverso;10000;318491995
sort;SelectionSortEstavel;inverso;10000;624947315
sort;InsertionSort;inverso;10000;119420600
sort;MergeSort;aleatorio;20000;6989950
sort;TimSortJava;aleatorio;20000;8969170
sort;QuickSort;aleatorio;20000;5522900
sort;QuickSortShuffle;aleatorio;20000;5706445
sort;CountingSort;aleatorio;20000;5726405
sort;MergeSort;ordenado;20000;2838460
sort;TimSortJava;ordenado;20000;381005
sort;QuickSort;ordenado;20000;-1
sort;QuickSortShuffle;ordenado;20000;5276970
sort;CountingSort;ordenado;20000;573890
sort;MergeSort;inverso;20000;2759425
sort;TimSortJava;inverso;20000;436250
sort;QuickSort;inverso;20000;-1
sort;QuickSortShuffle;inverso;20000;5468215
sort;CountingSort;inverso;20000;637435
sort;MergeSort;aleatorio;100000;42123350
sort;TimSortJava;aleatorio;100000;43438640
sort;QuickSort;aleatorio;100000;41194435
sort;QuickSortShuffle;aleatorio;100000;48031865
sort;CountingSort;aleatorio;100000;40593750
